case_id,model_name,model_id,provider,response,response_len,status,error
LIVE_DE_h24_01,gpt_oss_20b,openai/gpt-oss-20b,auto,"The forecast sits between the recent 1‑hour lag (36 MW) and the 6‑hour lag (41 MW), reflecting the upward trend in the last few hours.  
The 24‑hour rolling mean (39 MW) and the high wind share (≈53 % of generation) suggest that the system is still in a high‑renewable period, which keeps the demand from spiking as it would if wind were lower.  
Because the day is a",367,ok,
LIVE_DE_h24_02,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_03,gpt_oss_20b,openai/gpt-oss-20b,auto,"The forecast sits just below the 24‑hour rolling mean (≈39 400 MW) and is driven mainly by the recent high demand levels: lag 6 h and lag 12 h are both above 39 000 MW, while the 24‑hour lag is lower (≈33 900 MW) but the short‑term trend is upward.  
The time‑of‑day features (hour = 4 am, weekday, no holiday) normally signal a low‑to‑moderate load, but the strong wind output (≈9.6 GW total, 49 % share) and the high renewable share (≈74 %) are associated in the training data with a higher overall consumption pattern, so the model keeps the prediction near the recent peak.  
Finally, the rolling statistics reinforce this",626,ok,
LIVE_DE_h24_04,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_05,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_06,gpt_oss_20b,openai/gpt-oss-20b,auto,"The model sees a clear upward trend in the last few hours: the 1‑hour lag is already 46 MW above the 24‑hour average (≈40 MW) and the 2‑hour lag is 40 MW, while the 24‑hour lag is only 36 MW",190,ok,
LIVE_DE_h24_07,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_08,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_09,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_10,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_11,gpt_oss_20b,openai/gpt-oss-20b,auto,"The forecast is driven mainly by the recent upward trend in demand: the last 24 h average is 42.9 GW, but the 1‑hour‑ago value is already 54.7 GW and the 24‑hour‑ago value was 43.6 GW, indicating a clear rise.  
The lag‑168 h (same time last week) is 59.",254,ok,
LIVE_DE_h24_12,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_13,gpt_oss_20b,openai/gpt-oss-20b,auto,"The model sees a clear upward trend in the last 24 h: the 1‑, 2‑, 6‑ and 24‑hour lags are",89,ok,
LIVE_DE_h24_14,gpt_oss_20b,openai/gpt-oss-20b,auto,The model projects a demand of 55.4 GW because the most recent 6‑hour‑ago load (55.5 GW) is almost identical to the,115,ok,
LIVE_DE_h24_15,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
LIVE_DE_h24_16,gpt_oss_20b,openai/gpt-oss-20b,auto,,0,ok,
